,nom,etablissement,Date,prix
0,Tout va bien se passer,Comédie Saint-Martin,<b>Du 9 octobre 2023 au 31 mars 2024</b>,variable
1,L'Embarras du choix,Théâtre de la Gaîté-Montparnasse,<b>Du 7 janvier 2022 au 30 juin 2024</b>,variable
2,Chers parents,Théâtre de Paris,<b>Du 11 octobre 2023 au 25 février 2024</b>,variable
3,Dernier coup de ciseaux,Théâtre des Mathurins,<b>Du 9 juin 2021 au 18 mai 2024</b>,variable
4,Edmond,Théâtre du Palais-Royal,<b>Du 17 août 2023 au 15 juin 2024</b>,variable
5,La Maison du loup,Théâtre Rive Gauche,<b>Du 14 septembre 2023 au 31 mars 2024</b>,variable
6,"C'est décidé, je deviens une connasse !",Comédie Oberkampf,<b>Du 15 septembre 2023 au 5 mai 2024</b>,variable
7,Notre vie dans l'Art,Théâtre du Soleil - Cartoucherie,<b>Du 6 décembre 2023 au 3 mars 2024</b>,variable
8,Une idée géniale,Théâtre Michel,<b>Du 19 août 2022 au 31 décembre 2023</b>,variable
9,Hernie fiscale,Comédie Saint-Martin,<b>Du 12 octobre 2023 au 31 mars 2024</b>,variable
10,Oublie-moi,Théâtre Actuel La Bruyère,<b>Du 29 août 2023 au 30 mars 2024</b>,variable
11,Le Malade imaginaire,Théâtre des Champs-Élysées,<b>Du 21 décembre 2023 au 7 janvier 2024</b>,variable
12,Dîner de famille,Café de la Gare,<b>Du 22 juin 2019 au 2 février 2025</b>,variable
13,Berlin Berlin,Théâtre Fontaine,<b>Du 7 septembre 2023 au 28 avril 2024</b>,variable
14,Un chapeau de paille d'Italie,Théâtre de la Porte Saint-Martin,<b>Du 27 septembre 2023 au 31 décembre 2023</b>,variable
15,Mes copains d'abord,Le Grand Point Virgule,<b>Du 2 juin 2023 au 30 avril 2024</b>,variable
16,Un chalet à Gstaad,Théâtre des Nouveautés,<b>Du 1 décembre 2023 au 28 janvier 2024</b>,variable
17,Changer l'eau des fleurs,Théâtre de la Renaissance,<b>Du 17 août 2023 au 7 janvier 2024</b>,variable
18,Les femmes ont toujours raison les hommes n'ont jamais tort,Théâtre Le Passage vers les Étoiles,<b>Du 17 septembre 2021 au 5 mai 2024</b>,variable
19,La Machine de Turing,Théâtre du Palais-Royal,<b>Du 18 août 2023 au 27 avril 2024</b>,variable
20,La Note,Théâtre des Bouffes Parisiens,<b>Du 21 septembre 2023 au 31 décembre 2023</b>,variable
21,L'Heure des assassins,Théâtre du Lucernaire,<b>Du 25 octobre 2023 au 21 janvier 2024</b>,variable
22,Cyrano de Bergerac,Comédie-Française - Salle Richelieu,<b>Du 8 décembre 2023 au 8 avril 2024</b>,variable
23,Pourquoi les femmes aiment les connards ?,La Grande Comédie,<b>Du 22 novembre 2023 au 31 mars 2024</b>,variable
24,Une bonne bière,Le Funambule Montmartre,<b>Du 19 octobre 2023 au 25 février 2024</b>,variable
25,Le Coucou,Théâtre Edgar,<b>Du 3 octobre 2023 au 14 mai 2024</b>,variable
26,Une journée particulière,Théâtre de l'Atelier,<b>Du 2 décembre 2023 au 31 décembre 2023</b>,variable
27,Révélations,Théâtre de Passy,<b>Du 25 novembre 2023 au 16 mars 2024</b>,variable
28,L'Amour chez les autres,Théâtre Édouard VII,<b>Du 18 janvier 2024 au 19 mai 2024</b>,variable
29,"Et pendant ce temps, Simone veille !",Comédie Bastille,<b>Du 13 mai 2017 au 30 juin 2024</b>,variable
30,Arsène Lupin,Théâtre du Lucernaire,<b>Du 8 novembre 2023 au 28 janvier 2024</b>,variable
31,Le Bracelet,Théâtre des Nouveautés,<b>Du 14 février 2024 au 5 mai 2024</b>,variable
32,Lapin,Théâtre Édouard VII,<b>Du 21 septembre 2023 au 6 janvier 2024</b>,variable
33,Le Cercle des poètes disparus,Théâtre Antoine,<b>Du 23 janvier 2024 au 31 mars 2024</b>,variable
34,Les gros patinent bien,Théâtre Saint-Georges,<b>Du 15 septembre 2023 au 24 février 2024</b>,variable
35,La Fontaine et le confinement,Théâtre Montparnasse,<b>Du 9 octobre 2023 au 4 mars 2024</b>,variable
36,Stars d'un soir,La Grande Comédie,<b>Du 19 octobre 2023 au 31 mars 2024</b>,variable
37,"C'est beau l'amour, mais ça part toujours en couilles !",La Comédie du Onzième,<b>Du 14 octobre 2022 au 3 mars 2024</b>,variable
38,Le Voyage de Gulliver,Athénée Théâtre Louis-Jouvet,<b>Du 21 décembre 2023 au 4 janvier 2024</b>,variable
39,Le Bourgeois gentilhomme,Comédie-Française - Salle Richelieu,<b>Du 17 novembre 2023 au 15 janvier 2024</b>,variable
40,"Kessel, la liberté à tout prix",Théâtre du Lucernaire,<b>Du 30 août 2023 au 7 janvier 2024</b>,variable
41,"Kessel, la liberté à tout prix",Théâtre Rive Gauche,<b>Du 12 janvier 2024 au 21 avril 2024</b>,variable
42,Moby Dick,Théâtre du Lucernaire,<b>Du 13 décembre 2023 au 3 mars 2024</b>,variable
43,Interruption,Théâtre Antoine,<b>Du 18 septembre 2023 au 13 février 2024</b>,variable
44,Les Téméraires,Comédie Bastille,<b>Du 7 septembre 2023 au 16 juin 2024</b>,variable
45,Un léger doute,Théâtre de la Renaissance,<b>Du 29 septembre 2023 au 7 janvier 2024</b>,variable
46,Toute l'histoire de la peinture en moins de deux heures,Le 13e Art,<b>Du 9 octobre 2023 au 3 juin 2024</b>,variable
47,Le Repas des fauves,Théâtre Hébertot,<b>Du 14 septembre 2023 au 29 février 2024</b>,variable
48,Le Horla,À la Folie Théâtre,<b>Du 16 novembre 2023 au 4 février 2024</b>,variable
49,Le Concierge,La Divine Comédie,<b>Du 23 septembre 2023 au 30 mars 2024</b>,variable
50,Piège pour un homme seul,Théâtre de la Michodière,<b>Du 14 septembre 2023 au 31 décembre 2023</b>,variable
51,"La Reine des neiges, l'histoire oubliée",Comédie-Française - Théâtre du Vieux-Colombier,<b>Du 22 novembre 2023 au 7 janvier 2024</b>,variable
52,La femme n'existe plus,Théâtre du Rond-Point,<b>Du 6 décembre 2023 au 31 décembre 2023</b>,variable
53,Bunker : Lettres de Magda Goebbels,Théâtre Tristan-Bernard,<b>Du 1 février 2024 au 28 mars 2024</b>,variable
54,Le Montespan,Théâtre Actuel La Bruyère,<b>Du 25 novembre 2023 au 4 février 2024</b>,variable
55,Farces et nouvelles de Tchekhov,Théâtre du Lucernaire,<b>Du 8 novembre 2023 au 7 janvier 2024</b>,variable
56,Ils se marièrent et eurent beaucoup… d'emmerdes,Théâtre Le Bourvil,<b>Du 1 octobre 2021 au 29 février 2024</b>,variable
57,L'Éducation sentimentale,Théâtre de Poche-Montparnasse,<b>Du 29 août 2023 au 3 mars 2024</b>,variable
58,Eldorado 1528,Théâtre Montparnasse,<b>Du 7 septembre 2023 au 31 décembre 2023</b>,variable
